Proceso: chromium
PID: 1562
TID	Estado
1562	State:	S (sleeping)
1568	State:	S (sleeping)
1574	State:	S (sleeping)
1577	State:	S (sleeping)
1578	State:	S (sleeping)
1579	State:	S (sleeping)
1580	State:	S (sleeping)
1581	State:	S (sleeping)
1582	State:	S (sleeping)
1583	State:	S (sleeping)
1584	State:	S (sleeping)
1585	State:	S (sleeping)
1589	State:	S (sleeping)
1590	State:	S (sleeping)
1591	State:	S (sleeping)
1593	State:	S (sleeping)
1594	State:	S (sleeping)
1595	State:	S (sleeping)
1596	State:	S (sleeping)
1597	State:	S (sleeping)
1598	State:	S (sleeping)
1599	State:	S (sleeping)
1600	State:	S (sleeping)
1601	State:	S (sleeping)
1603	State:	S (sleeping)
1604	State:	S (sleeping)
1605	State:	S (sleeping)
1641	State:	S (sleeping)
1642	State:	S (sleeping)
1643	State:	S (sleeping)
1644	State:	S (sleeping)
1645	State:	S (sleeping)
1646	State:	S (sleeping)
1647	State:	S (sleeping)
1648	State:	S (sleeping)
1649	State:	S (sleeping)
1650	State:	S (sleeping)
2630	State:	S (sleeping)
2631	State:	S (sleeping)
