Registro de datos 1: nombre=usuario0, edad=20, ciudad=Salto
Registro de datos 2: nombre=usuario1, edad=21, ciudad=Salto
Registro de datos 3: nombre=usuario2, edad=22, ciudad=Salto
Registro de datos 4: nombre=usuario3, edad=23, ciudad=Salto
Registro de datos 5: nombre=usuario4, edad=24, ciudad=Salto
Registro de datos 6: nombre=usuario5, edad=25, ciudad=Salto
Registro de datos 7: nombre=usuario6, edad=26, ciudad=Salto
Registro de datos 8: nombre=usuario7, edad=27, ciudad=Salto
Registro de datos 9: nombre=usuario8, edad=28, ciudad=Salto
Registro de datos 10: nombre=usuario9, edad=29, ciudad=Salto
Registro de datos 11: nombre=usuario10, edad=30, ciudad=Salto
Registro de datos 12: nombre=usuario11, edad=31, ciudad=Salto
Registro de datos 13: nombre=usuario12, edad=32, ciudad=Salto
Registro de datos 14: nombre=usuario13, edad=33, ciudad=Salto
Registro de datos 15: nombre=usuario14, edad=34, ciudad=Salto
Registro de datos 16: nombre=usuario15, edad=35, ciudad=Salto
Registro de datos 17: nombre=usuario16, edad=36, ciudad=Salto
Registro de datos 18: nombre=usuario17, edad=37, ciudad=Salto
Registro de datos 19: nombre=usuario18, edad=38, ciudad=Salto
Registro de datos 20: nombre=usuario19, edad=39, ciudad=Salto
Registro de datos 21: nombre=usuario20, edad=40, ciudad=Salto
Registro de datos 22: nombre=usuario21, edad=41, ciudad=Salto
Registro de datos 23: nombre=usuario22, edad=42, ciudad=Salto
Registro de datos 24: nombre=usuario23, edad=43, ciudad=Salto
Registro de datos 25: nombre=usuario24, edad=44, ciudad=Salto
Registro de datos 26: nombre=usuario25, edad=45, ciudad=Salto
Registro de datos 27: nombre=usuario26, edad=46, ciudad=Salto
Registro de datos 28: nombre=usuario27, edad=47, ciudad=Salto
Registro de datos 29: nombre=usuario28, edad=48, ciudad=Salto
Registro de datos 30: nombre=usuario29, edad=49, ciudad=Salto
Registro de datos 31: nombre=usuario30, edad=50, ciudad=Salto
Registro de datos 32: nombre=usuario31, edad=51, ciudad=Salto
Registro de datos 33: nombre=usuario32, edad=52, ciudad=Salto
Registro de datos 34: nombre=usuario33, edad=53, ciudad=Salto
Registro de datos 35: nombre=usuario34, edad=54, ciudad=Salto
Registro de datos 36: nombre=usuario35, edad=55, ciudad=Salto
